shape,case,backend,runtime,xex_bytes,min_cycles,max_cycles,raw_copy_sites,opt_copy_sites,raw_copied_bytes,opt_copied_bytes,raw_capture_bytes,opt_capture_bytes,initial_mir_copy_sites,initial_mir_copied_bytes,mapped_routine_storage_bytes,mapped_routine_code_bytes
variant,abi_arguments,mir-raw,ActionCart,925,1466,1466,7,4,28,16,40,28,11,44,71,836
variant,abi_arguments,mir-optimized,ActionCart,838,1368,1368,7,4,28,16,40,28,8,32,59,761
variant,abi_arguments,classic,Standalone,1309,2936,2936,7,4,28,16,40,28,n/a,n/a,79,1285
variant,abi_arguments,mir-raw,Standalone,1025,1466,1466,7,4,28,16,40,28,11,44,73,934
variant,abi_arguments,mir-optimized,Standalone,938,1368,1368,7,4,28,16,40,28,8,32,61,859
variant,abi_return,classic,ActionCart,567,1047,1047,3,1,12,4,20,12,n/a,n/a,33,543
variant,abi_return,mir-raw,ActionCart,417,480,480,3,1,12,4,20,12,4,16,29,370
variant,abi_return,mir-optimized,ActionCart,366,424,424,3,1,12,4,20,12,2,8,21,327
variant,abi_return,classic,Standalone,589,1047,1047,3,1,12,4,20,12,n/a,n/a,34,564
variant,abi_return,mir-raw,Standalone,435,480,480,3,1,12,4,20,12,4,16,30,387
variant,abi_return,mir-optimized,Standalone,384,424,424,3,1,12,4,20,12,2,8,22,344
